count,Name,SpeciesID,BEST,DEFAULT,MAX,B2D,D2M,B2M,RESULT
48,凱路迪歐 覺悟型態,keldeo_resolute,15-0-15-15,14.5-12-15-10,14-15-15-15,-31%,17%,-31%,14.5-12-15-10
49,利歐路,riolu,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
50,利牙魚,carvanha,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
51,利牙魚 暗影化,carvanha_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
52,刺尾蟲,wurmple,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
53,刺球仙人掌,cacnea,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
54,刺球仙人掌 暗影化,cacnea_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
55,刺甲貝,cloyster,22.5-0-13-13,21-12-15-14,20.5-15-15-15,-2%,-8%,-2%,20.5-15-15-15
56,刺甲貝 暗影化,cloyster_shadow,22.5-0-13-13,21-12-15-14,20.5-15-15-15,3%,-14%,3%,22.5-0-13-13
57,刺龍王,kingdra,21.5-0-15-13,21-6-9-14,19.5-15-15-15,0%,4%,0%,21-6-9-14
58,劈斬司令,bisharp,19.5-1-15-15,19.5-5-7-15,18-15-15-15,-20%,-16%,-20%,18-15-15-15
59,力壯雞,combusken,39.5-0-15-14,37.5-6-13-13,33.5-15-15-15,-28%,-26%,-28%,33.5-15-15-15
60,功夫鼬,mienfoo,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
61,勇基拉,kadabra,27-2-15-14,26.5-11-13-11,25.5-15-15-15,-34%,34%,-34%,26.5-11-13-11
62,勇基拉 暗影化,kadabra_shadow,27-2-15-14,26.5-11-13-11,25.5-15-15-15,-13%,13%,-13%,26.5-11-13-11
63,勇士雄鷹,braviary,18-1-15-15,18-5-15-5,17-15-15-15,11%,0%,11%,18-1-15-15
64,勒克貓,luxio,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
65,勾帕路翁,cobalion,18.5-3-14-14,18.5-6-5-15,17-15-15-15,-2%,4%,-2%,18.5-6-5-15
66,勾魂眼,sableye,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
67,勾魂眼 暗影化,sableye_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
68,化石盔,kabuto,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
69,化石翼龍,aerodactyl,20-1-15-15,20-5-15-6,18.5-15-15-15,4%,0%,4%,18.5-15-15-15
70,化石翼龍 暗影化,aerodactyl_shadow,20-1-15-15,20-5-15-6,18.5-15-15-15,0%,3%,0%,20-5-15-6
71,千針魚,qwilfish,28-0-12-14,27-6-11-15,25.5-15-15-15,-5%,-2%,-5%,25.5-15-15-15
72,卡咪龜,wartortle,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
73,卡咪龜 暗影化,wartortle_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
74,卡拉卡拉,cubone,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
75,卡拉卡拉 暗影化,cubone_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
76,卡比獸,snorlax,17.5-1-15-14,17-5-13-15,16-15-15-15,-21%,12%,-21%,17-5-13-15
77,卡比獸 暗影化,snorlax_shadow,17.5-1-15-14,17-5-13-15,16-15-15-15,-22%,-18%,-22%,16-15-15-15
78,卡蒂狗,growlithe,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
79,卡蒂狗 暗影化,growlithe_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
80,原蓋海龜,tirtouga,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
81,叉字蝠,crobat,21.5-0-15-12,21.5-5-9-8,19.5-15-15-15,0%,0%,0%,19.5-15-15-15
82,叉字蝠 暗影化,crobat_shadow,21.5-0-15-12,21.5-5-9-8,19.5-15-15-15,0%,0%,0%,19.5-15-15-15
83,口呆花,weepinbell,40-2-15-15,35.5-14-15-14,35-15-15-15,1%,-32%,1%,40-2-15-15
84,口呆花 暗影化,weepinbell_shadow,40-2-15-15,35.5-14-15-14,35-15-15-15,-63%,-63%,-63%,35-15-15-15
85,古空棘魚,relicanth,22.5-1-15-15,22-7-10-13,20.5-15-15-15,-15%,-12%,-15%,20.5-15-15-15
86,可可多拉,aron,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
87,可多拉,lairon,28-0-14-15,27.5-6-10-12,25.5-15-15-15,1%,2%,1%,28-0-14-15
88,可達鴨,psyduck,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
89,可達鴨 暗影化,psyduck_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
90,吉利蛋,chansey,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
91,向尾喵,skitty,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
92,向日種子,sunkern,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
93,向日花怪,sunflora,26.5-0-15-15,26.5-5-10-10,24.5-15-15-15,-62%,-61%,-62%,24.5-15-15-15
94,君主蛇,serperior,25.5-0-10-15,24-7-14-15,23-15-15-15,-28%,-26%,-28%,23-15-15-15
95,吞食獸,swalot,29.5-0-14-14,28.5-7-13-9,26.5-15-15-15,4%,1%,4%,29.5-0-14-14
96,含羞苞,budew,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
97,吼吼鯨,wailmer,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
98,吼爆彈,loudred,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
99,吼鯨王,wailord,25-0-15-15,24-6-15-13,23-15-15-15,-9%,-6%,-9%,23-15-15-15
100,呆呆獸,slowpoke,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
101,呆呆獸 暗影化,slowpoke_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
102,呆呆王,slowking,22.5-0-13-15,22-7-12-8,20.5-15-15-15,-19%,-18%,-19%,20.5-15-15-15
103,呆呆王 暗影化,slowking_shadow,22.5-0-13-15,22-7-12-8,20.5-15-15-15,1%,0%,1%,22.5-0-13-15
104,呆殼獸,slowbro,22.5-0-13-15,22-7-12-8,20.5-15-15-15,-19%,-18%,-19%,20.5-15-15-15
105,呆殼獸 暗影化,slowbro_shadow,22.5-0-13-15,22-7-12-8,20.5-15-15-15,1%,0%,1%,22.5-0-13-15
106,呆火駝,numel,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
107,咕咕,hoothoot,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
108,咕咕鴿,tranquill,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
109,咕妞妞,whismur,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
110,咩利羊,mareep,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
111,咩利羊 暗影化,mareep_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
112,哈克龍,dragonair,34-1-15-15,33-5-14-12,29.5-15-15-15,2%,0%,2%,34-1-15-15
113,哈克龍 暗影化,dragonair_shadow,34-1-15-15,33-5-14-12,29.5-15-15-15,0%,0%,0%,29.5-15-15-15
114,哈約克,herdier,40-6-15-15,37.5-14-12-15,36-15-15-15,2%,1%,2%,40-6-15-15
115,哎呀球菇,foongus,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
116,哥德寶寶,gothita,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
117,哥德小姐,gothitelle,23.5-0-15-15,22.5-9-12-15,21.5-15-15-15,-27%,-25%,-27%,21.5-15-15-15
118,哥德小童,gothorita,40-5-15-15,37-12-15-12,35-15-15-15,-22%,-12%,-22%,35-15-15-15
119,哥達鴨,golduck,23.5-0-10-14,23-5-10-10,21-15-15-15,7%,-1%,7%,23.5-0-10-14
120,哥達鴨 暗影化,golduck_shadow,23.5-0-10-14,23-5-10-10,21-15-15-15,-16%,-14%,-16%,21-15-15-15
121,哭哭面具,yamask,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
122,哭哭面具 伽勒爾型態,yamask_galarian,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
123,喇叭芽,bellsprout,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
124,喇叭芽 暗影化,bellsprout_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
125,單卵細胞球,solosis,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
126,單首龍,deino,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
127,喵喵,meowth,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
128,喵喵 伽勒爾型態,meowth_galarian,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
129,喵喵 暗影化,meowth_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
130,喵喵 阿羅拉型態,meowth_alolan,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
131,喵頭目,perrserker,23.5-1-15-15,23.5-7-8-12,22-15-15-15,-27%,-26%,-27%,22-15-15-15
132,嘎啦嘎啦,marowak,33.5-0-14-14,31-7-11-14,28.5-15-15-15,2%,-17%,2%,33.5-0-14-14
133,嘎啦嘎啦 暗影化,marowak_shadow,33.5-0-14-14,31-7-11-14,28.5-15-15-15,0%,2%,0%,31-7-11-14
134,嘎啦嘎啦 阿羅拉型態,marowak_alolan,33.5-0-14-14,31-7-11-14,28.5-15-15-15,2%,-31%,2%,33.5-0-14-14
135,嘟嘟,doduo,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
136,嘟嘟利,dodrio,24-0-12-15,23-9-15-11,22-15-15-15,1%,0%,1%,24-0-12-15
137,噗噗豬,grumpig,24-1-14-15,23.5-5-14-11,22-15-15-15,-46%,-45%,-46%,22-15-15-15
138,噴嚏熊,cubchoo,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
139,噴火駝,camerupt,26-0-14-13,25.5-6-9-14,23.5-15-15-15,-9%,2%,-9%,25.5-6-9-14
140,噴火龍,charizard,19.5-0-15-13,19.5-6-8-10,18-15-15-15,-36%,36%,-36%,19.5-6-8-10
141,噴火龍 (Mega X),charizard_mega_x,14.5-0-11-15,14-6-15-13,13.5-15-15-15,-54%,-53%,-54%,13.5-15-15-15
142,噴火龍 (Mega Y),charizard_mega_y,12.5-0-13-11,12-7-15-13,11.5-15-15-15,1%,0%,1%,12.5-0-13-11
143,噴火龍 暗影化,charizard_shadow,19.5-0-15-13,19.5-6-8-10,18-15-15-15,-22%,22%,-22%,19.5-6-8-10
144,四季鹿,deerling,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
145,固拉多,groudon,13.5-1-14-13,13-11-15-12,12.5-15-15-15,-17%,17%,-17%,13-11-15-12
146,圈圈熊,ursaring,19-0-14-15,19-6-7-14,17.5-15-15-15,-39%,39%,-39%,19-6-7-14
147,圈圈熊 暗影化,ursaring_shadow,19-0-14-15,19-6-7-14,17.5-15-15-15,-14%,14%,-14%,19-6-7-14
148,圓法師,kricketot,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
149,圓絲蛛,spinarak,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
150,圓蝌蚪,tympole,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
151,圓陸鯊,gible,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
152,圖圖犬,smeargle,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
153,土台龜,torterra,19.5-0-11-13,19-6-11-9,17.5-15-15-15,0%,17%,0%,19-6-11-9
154,土台龜 暗影化,torterra_shadow,19.5-0-11-13,19-6-11-9,17.5-15-15-15,0%,1%,0%,19-6-11-9
155,土地雲 化身型態,landorus_incarnate,15.5-1-15-12,15-8-15-13,14.5-15-15-15,2%,2%,2%,15.5-1-15-12
156,土地雲 靈獸型態,landorus_therian,14-2-15-14,13.5-13-14-13,13-15-15-15,-70%,70%,-70%,13.5-13-14-13
157,土居忍士,nincada,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
158,土狼犬,poochyena,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
159,土龍弟弟,dunsparce,40-0-14-12,36-7-13-15,32-15-15-15,1%,3%,1%,40-0-14-12
160,地幔岩,boldore,28-0-15-15,28-5-12-9,25.5-15-15-15,0%,4%,0%,28-5-12-9
161,地鼠,diglett,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
162,地鼠 暗影化,diglett_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
163,地鼠 阿羅拉型態,diglett_alolan,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
164,坦克臭鼬,skuntank,24-0-15-15,23.5-6-13-11,22-15-15-15,6%,1%,6%,24-0-15-15
165,坦克臭鼬 暗影化,skuntank_shadow,24-0-15-15,23.5-6-13-11,22-15-15-15,-22%,-20%,-22%,22-15-15-15
166,基拉祈,jirachi,16.5-10-15-13,16.5-12-12-10,16-15-15-15,-14%,14%,-14%,16.5-12-12-10
167,堅果啞鈴,ferrothorn,25-0-13-13,23.5-10-15-11,22.5-15-15-15,-2%,1%,-2%,23.5-10-15-11
168,堵攔熊,obstagoon,21.5-0-14-15,21-5-10-15,19.5-15-15-15,0%,0%,0%,19.5-15-15-15
169,墨海馬,horsea,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
170,壺壺,shuckle,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
171,壺壺 暗影化,shuckle_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
172,多刺菊石獸,omastar,20.5-0-9-15,20-8-10-9,18.5-15-15-15,-46%,46%,-46%,20-8-10-9
173,多刺菊石獸 暗影化,omastar_shadow,20.5-0-9-15,20-8-10-9,18.5-15-15-15,-33%,33%,-33%,20-8-10-9
174,多多冰,vanillish,40-5-15-15,37.5-12-15-13,36-15-15-15,5%,-2%,5%,40-5-15-15
175,多邊獸,porygon,37.5-0-13-15,34.5-6-15-13,31-15-15-15,-23%,-22%,-23%,31-15-15-15
176,多邊獸 暗影化,porygon_shadow,37.5-0-13-15,34.5-6-15-13,31-15-15-15,-46%,-39%,-46%,31-15-15-15
177,多邊獸Ⅱ,porygon2,21-0-12-15,20.5-6-13-9,19-15-15-15,-60%,-60%,-60%,19-15-15-15
178,多邊獸Ⅱ 暗影化,porygon2_shadow,21-0-12-15,20.5-6-13-9,19-15-15-15,-22%,-21%,-22%,19-15-15-15
179,多邊獸Ｚ,porygon_z,17-1-15-13,16.5-11-11-15,16-15-15-15,-46%,46%,-46%,16.5-11-11-15
180,多邊獸Ｚ 暗影化,porygon_z_shadow,17-1-15-13,16.5-11-11-15,16-15-15-15,-46%,46%,-46%,16.5-11-11-15
181,夜巡靈,duskull,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
182,夜巡靈 暗影化,duskull_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
183,夢夢蝕,musharna,21-0-12-15,20.5-5-11-13,19-15-15-15,-13%,-9%,-13%,19-15-15-15
184,夢妖,misdreavus,29.5-1-15-15,28-9-15-15,27-15-15-15,-18%,-17%,-18%,27-15-15-15
185,夢妖 暗影化,misdreavus_shadow,29.5-1-15-15,28-9-15-15,27-15-15-15,9%,0%,9%,29.5-1-15-15
186,夢妖魔,mismagius,21.5-0-15-15,21.5-6-15-5,20-15-15-15,-1%,0%,-1%,20-15-15-15
187,夢妖魔 暗影化,mismagius_shadow,21.5-0-15-15,21.5-6-11-9,20-15-15-15,0%,4%,0%,21.5-6-11-9
188,夢幻,mew,16.5-10-15-13,16.5-12-12-10,16-15-15-15,-16%,16%,-16%,16.5-12-12-10
189,夢歌仙人掌,cacturne,24.5-0-14-15,24-6-14-10,22.5-15-15-15,-6%,-5%,-6%,22.5-15-15-15
190,夢歌仙人掌 暗影化,cacturne_shadow,24.5-0-14-15,24-6-14-10,22.5-15-15-15,2%,0%,2%,24.5-0-14-15
191,大劍鬼,samurott,20-0-14-14,19.5-5-12-13,18.5-15-15-15,-36%,-35%,-36%,18.5-15-15-15
192,大力鱷,feraligatr,20-0-11-13,19.5-6-15-6,18-15-15-15,2%,-32%,2%,20-0-11-13
193,大嘴娃,mawile,40-1-15-15,39-6-14-10,34-15-15-15,9%,0%,9%,40-1-15-15
194,大嘴娃 暗影化,mawile_shadow,40-1-15-15,39-6-14-10,34-15-15-15,13%,0%,13%,40-1-15-15
195,大嘴蝠,golbat,29-0-15-15,28-8-13-12,26.5-15-15-15,1%,-16%,1%,26.5-15-15-15
196,大嘴蝠 暗影化,golbat_shadow,29-0-15-15,28-8-13-12,26.5-15-15-15,-19%,1%,-19%,28-8-13-12
197,大嘴雀,fearow,28.5-0-15-14,28.5-6-8-11,26-15-15-15,0%,0%,0%,26-15-15-15
198,大嘴鷗,pelipper,27-0-12-15,26-8-13-11,24.5-15-15-15,-3%,-27%,-3%,24.5-15-15-15
199,大奶罐,miltank,24.5-0-14-14,24-5-15-6,22-15-15-15,3%,-25%,3%,24.5-0-14-14
200,大宇怪,beheeyem,20.5-0-14-13,20-7-10-14,19-15-15-15,4%,0%,4%,19-15-15-15
201,大尾狸,bibarel,33.5-0-14-13,31-8-11-14,28.5-15-15-15,-12%,-8%,-12%,28.5-15-15-15
202,大尾立,furret,35.5-1-15-14,34.5-6-11-12,29.5-15-15-15,-7%,-3%,-7%,29.5-15-15-15
203,大岩蛇,onix,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
204,大朝北鼻,probopass,28-0-15-15,27.5-5-14-9,25-15-15-15,13%,2%,13%,28-0-15-15
205,大比鳥,pidgeot,27-0-14-14,25.5-9-14-15,24.5-15-15-15,0%,0%,0%,24.5-15-15-15
206,大比鳥 (Mega),pidgeot_mega,15-1-15-14,14.5-10-14-14,14-15-15-15,0%,0%,0%,14-15-15-15
207,大牙狸,bidoof,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
208,大狼犬,mightyena,30-0-12-14,28-10-14-15,27-15-15-15,1%,0%,1%,30-0-12-14
209,大王燕,swellow,29.5-0-15-15,28.5-7-15-13,27-15-15-15,1%,0%,1%,29.5-0-15-15
210,大竺葵,meganium,24-0-10-15,23-7-9-15,21.5-15-15-15,3%,-11%,3%,24-0-10-15
211,大舌舔,lickilicky,23.5-0-15-10,22-9-15-14,21-15-15-15,-12%,-8%,-12%,21-15-15-15
212,大舌貝,shellder,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
213,大舌貝 暗影化,shellder_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
214,大舌頭,lickitung,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
215,大蔥鴨,farfetchd,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
216,大蔥鴨 伽勒爾型態,farfetchd_galarian,38-0-15-15,36.5-5-15-12,32.5-15-15-15,2%,-52%,2%,38-0-15-15
217,大針蜂,beedrill,32.5-0-13-14,30.5-6-11-15,28-15-15-15,-25%,-22%,-25%,28-15-15-15
218,大針蜂 (Mega),beedrill_mega,16.5-0-11-15,16-6-13-14,15.5-15-15-15,-2%,-1%,-2%,15.5-15-15-15
219,大針蜂 暗影化,beedrill_shadow,32.5-0-13-14,30.5-6-11-15,28-15-15-15,1%,-26%,1%,32.5-0-13-14
220,大鉗蟹,krabby,40-7-15-15,39-12-12-15,37-15-15-15,2%,0%,2%,40-7-15-15
221,大鋼蛇,steelix,24-0-14-15,22.5-10-15-14,21.5-15-15-15,-1%,-37%,-1%,21.5-15-15-15
222,大顎蟻,trapinch,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
223,大顎蟻 暗影化,trapinch_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
224,大食花,victreebel,23-1-15-15,22.5-9-11-15,21.5-15-15-15,0%,2%,0%,22.5-9-11-15
225,大食花 暗影化,victreebel_shadow,23-1-15-15,22.5-9-11-15,21.5-15-15-15,0%,0%,0%,21.5-15-15-15
226,天然雀,natu,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
227,天然鳥,xatu,26-0-13-15,25.5-8-9-12,24-15-15-15,2%,-5%,2%,26-0-13-15
228,天秤偶,baltoy,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
